Battery_ID,Cycle_Count,Voltage_V,Current_A,Temperature_C,SOC_percent,Capacity_Ah,Internal_Resistance_Ohm,Energy_Remaining_kWh,Power_kW,SOH_percent,Condition_Score,Battery_Condition,Second_Life_Status
EVB_0215,1356,341.85,35.88,40.8,48.72,45.23,0.1091,7.53,12.27,75.38,77.77,Degraded,Suitable for evaluation
EVB_0216,682,361.94,36.06,27.36,76.18,52.39,0.0681,14.45,13.05,87.32,93.03,Moderate,Suitable for evaluation
EVB_0217,677,337.52,-0.6,26.42,32.61,52.65,0.0701,5.79,0.2,87.75,93.25,Moderate,Suitable for evaluation
EVB_0218,1022,369.21,65.76,13.01,79.76,48.3,0.0847,14.22,24.28,80.5,87.32,Moderate,Suitable for evaluation
EVB_0219,1332,320.36,65.54,18.53,15.63,44.46,0.0947,2.23,21.0,74.11,82.47,Degraded,Suitable for evaluation
EVB_0220,1432,339.76,15.14,41.72,38.82,42.79,0.1075,5.64,5.14,71.32,75.18,Degraded,Suitable for evaluation
EVB_0221,759,377.16,2.08,32.42,97.92,50.61,0.0682,18.69,0.79,84.36,91.4,Moderate,Suitable for evaluation
EVB_0222,1529,369.41,6.26,39.33,80.43,40.58,0.1026,12.06,2.31,67.64,75.26,Critical,Consider second-life/replacement
EVB_0223,1484,343.06,56.34,38.32,52.24,41.95,0.1016,7.52,19.33,69.92,77.25,Critical,Consider second-life/replacement
EVB_0224,698,341.45,59.94,22.0,37.28,52.02,0.0743,6.62,20.47,86.7,92.11,Moderate,Suitable for evaluation
EVB_0225,367,372.34,23.84,49.44,87.85,55.0,0.0685,17.99,8.88,91.66,86.75,Healthy,Not yet
EVB_0226,1750,354.5,53.18,45.6,56.76,37.78,0.1248,7.6,18.85,62.96,65.96,Critical,Consider second-life/replacement
EVB_0227,1298,365.82,44.61,25.49,77.05,44.31,0.0935,12.49,16.32,73.85,82.48,Degraded,Suitable for evaluation
EVB_0228,1307,361.99,35.19,10.0,76.64,44.16,0.0954,12.25,12.74,73.61,82.1,Degraded,Suitable for evaluation
EVB_0229,733,324.67,67.66,27.15,6.7,51.16,0.0669,1.11,21.97,85.27,91.9,Moderate,Suitable for evaluation
EVB_0230,713,327.38,27.27,31.91,16.99,51.79,0.0718,2.88,8.93,86.31,92.24,Moderate,Suitable for evaluation
EVB_0231,1447,360.76,63.54,25.46,67.66,43.13,0.0968,10.53,22.92,71.88,80.96,Degraded,Suitable for evaluation
EVB_0232,1745,326.82,35.44,28.23,20.35,38.71,0.1071,2.58,11.58,64.52,75.54,Critical,Consider second-life/replacement
EVB_0233,1681,336.42,79.56,23.37,29.27,40.51,0.105,3.99,26.76,67.52,77.47,Critical,Consider second-life/replacement
EVB_0234,1545,375.68,21.51,37.37,94.93,42.15,0.1039,15.03,8.08,70.24,77.69,Degraded,Suitable for evaluation
EVB_0235,1306,362.11,37.69,30.51,58.22,44.55,0.0917,9.39,13.65,74.25,82.95,Degraded,Suitable for evaluation
EVB_0236,1765,362.01,42.9,37.61,76.32,39.17,0.117,10.82,15.53,65.28,73.07,Critical,Consider second-life/replacement
EVB_0237,1186,353.71,44.98,39.78,58.01,46.24,0.0897,9.49,15.91,77.07,81.9,Degraded,Suitable for evaluation
EVB_0238,1570,349.64,52.94,12.61,57.49,40.39,0.1061,8.12,18.51,67.32,77.21,Critical,Consider second-life/replacement
EVB_0239,491,327.33,26.18,23.84,13.94,54.85,0.0661,2.5,8.57,91.41,95.28,Healthy,Not yet
EVB_0240,613,333.55,45.81,25.01,37.65,52.09,0.0626,6.54,15.28,86.82,92.75,Moderate,Suitable for evaluation
EVB_0241,1341,337.26,49.67,50.57,31.83,42.72,0.1099,4.59,16.75,71.2,69.5,Degraded,Suitable for evaluation
EVB_0242,1583,345.54,36.45,31.19,42.12,41.14,0.105,5.99,12.59,68.57,78.05,Critical,Consider second-life/replacement
EVB_0243,1459,367.09,48.57,36.5,80.84,40.92,0.0963,12.14,17.83,68.21,78.1,Critical,Consider second-life/replacement
EVB_0244,1460,336.84,21.93,14.95,40.33,42.6,0.0963,5.79,7.39,71.0,80.55,Degraded,Suitable for evaluation
EVB_0245,1186,343.89,39.37,31.15,47.91,46.46,0.0871,7.65,13.54,77.43,85.3,Degraded,Suitable for evaluation
EVB_0246,1686,334.31,32.31,37.83,42.75,38.49,0.1077,5.5,10.8,64.15,73.56,Critical,Consider second-life/replacement
EVB_0247,1698,326.59,43.51,36.9,13.87,40.3,0.1103,1.83,14.21,67.17,75.43,Critical,Consider second-life/replacement
EVB_0248,1001,343.21,71.42,34.99,46.9,47.5,0.0816,7.65,24.51,79.16,86.99,Degraded,Suitable for evaluation
EVB_0249,1154,331.22,74.57,30.1,23.58,46.3,0.091,3.62,24.7,77.16,84.64,Degraded,Suitable for evaluation
EVB_0250,748,331.54,71.14,30.49,22.74,50.64,0.0691,3.82,23.59,84.39,91.42,Moderate,Suitable for evaluation
EVB_0251,162,332.77,41.01,16.45,13.93,58.46,0.0538,2.71,13.65,97.43,98.59,Healthy,Not yet
EVB_0252,51,344.36,62.67,22.8,38.88,60.11,0.0402,8.05,21.58,100.18,100.0,Healthy,Not yet
EVB_0253,691,368.22,43.79,31.85,76.96,52.16,0.07,14.78,16.12,86.93,92.81,Moderate,Suitable for evaluation
EVB_0254,269,340.36,48.07,24.27,31.26,56.77,0.0545,6.04,16.36,94.62,97.04,Healthy,Not yet
EVB_0255,1639,340.81,45.45,35.51,34.67,39.98,0.106,4.72,15.49,66.63,76.54,Critical,Consider second-life/replacement
EVB_0256,904,357.67,74.73,33.73,66.05,49.1,0.078,11.6,26.73,81.84,88.94,Moderate,Suitable for evaluation
EVB_0257,1298,336.5,72.75,40.94,23.6,44.62,0.0965,3.54,24.48,74.36,78.8,Degraded,Suitable for evaluation
EVB_0258,434,368.82,53.58,37.67,90.21,55.16,0.0693,18.35,19.76,91.93,93.96,Healthy,Not yet
EVB_0259,1476,352.03,41.4,31.82,54.42,42.67,0.1021,8.17,14.58,71.12,79.84,Degraded,Suitable for evaluation
EVB_0260,1711,341.88,46.01,35.98,47.52,38.53,0.1093,6.26,15.73,64.21,74.48,Critical,Consider second-life/replacement
EVB_0261,1203,351.02,53.59,38.04,57.99,45.41,0.0892,9.24,18.81,75.69,82.25,Degraded,Suitable for evaluation
EVB_0262,1126,331.36,39.12,25.94,20.77,46.04,0.0916,3.17,12.96,76.74,84.33,Degraded,Suitable for evaluation
EVB_0263,1757,355.8,60.3,27.37,63.28,39.38,0.103,8.87,21.45,65.64,76.7,Critical,Consider second-life/replacement
EVB_0264,779,344.12,29.68,29.23,39.49,50.12,0.0664,6.81,10.21,83.53,90.94,Moderate,Suitable for evaluation
EVB_0265,1745,366.7,47.23,26.2,90.23,39.38,0.098,13.03,17.32,65.63,77.36,Critical,Consider second-life/replacement
EVB_0266,1783,332.19,7.26,38.13,21.04,38.27,0.1143,2.67,2.41,63.78,72.29,Critical,Consider second-life/replacement
EVB_0267,1489,345.95,34.71,24.98,53.17,40.82,0.0962,7.51,12.01,68.03,78.92,Critical,Consider second-life/replacement
EVB_0268,296,355.29,80.98,40.01,61.82,56.87,0.0675,12.49,28.77,94.79,94.13,Healthy,Not yet
EVB_0269,885,324.47,68.67,27.06,8.17,49.36,0.0784,1.31,22.28,82.27,89.13,Moderate,Suitable for evaluation
EVB_0270,1512,339.28,73.89,33.78,39.55,42.75,0.1021,5.74,25.07,71.25,79.91,Degraded,Suitable for evaluation
EVB_0271,252,366.57,30.04,31.33,74.6,55.81,0.0538,15.26,11.01,93.02,96.16,Healthy,Not yet
EVB_0272,1257,361.33,42.92,22.19,82.94,44.71,0.0934,13.4,15.51,74.52,82.86,Degraded,Suitable for evaluation
EVB_0273,172,342.03,69.91,29.84,34.75,57.78,0.0585,6.87,23.91,96.31,97.97,Healthy,Not yet
EVB_0274,450,369.59,52.69,32.67,80.87,54.79,0.0669,16.38,19.47,91.32,95.22,Healthy,Not yet
EVB_0275,816,376.27,48.52,29.49,96.94,49.28,0.0717,17.97,18.26,82.13,89.95,Moderate,Suitable for evaluation
EVB_0276,343,366.47,69.98,19.26,86.4,56.26,0.0601,17.82,25.65,93.77,96.58,Healthy,Not yet
EVB_0277,329,328.55,30.33,43.61,16.18,57.0,0.0658,3.03,9.97,95.0,92.09,Healthy,Not yet
EVB_0278,933,363.91,38.65,30.7,75.27,49.14,0.0738,13.46,14.07,81.89,89.54,Moderate,Suitable for evaluation
EVB_0279,1683,335.93,15.18,23.65,35.37,39.87,0.1003,4.74,5.1,66.45,77.51,Critical,Consider second-life/replacement
EVB_0280,247,375.22,19.42,42.97,98.9,55.71,0.0626,20.67,7.29,92.86,91.29,Healthy,Not yet
EVB_0281,1031,353.53,64.2,34.94,51.11,47.09,0.0855,8.51,22.7,78.48,86.1,Degraded,Suitable for evaluation
EVB_0282,1584,323.79,32.49,20.4,16.63,40.95,0.1087,2.21,10.52,68.25,77.38,Critical,Consider second-life/replacement
EVB_0283,801,362.89,55.37,21.64,73.89,50.02,0.0695,13.41,20.09,83.36,90.85,Moderate,Suitable for evaluation
EVB_0284,193,334.47,76.57,28.22,35.69,58.4,0.057,6.97,25.61,97.34,98.54,Healthy,Not yet
EVB_0285,658,384.79,35.83,32.38,99.72,52.48,0.0687,20.14,13.79,87.46,93.1,Moderate,Suitable for evaluation
EVB_0286,1274,375.74,48.59,34.98,98.08,46.6,0.0855,17.17,18.26,77.66,85.65,Degraded,Suitable for evaluation
EVB_0287,1197,358.6,56.3,37.6,67.33,44.83,0.091,10.83,20.19,74.72,81.74,Degraded,Suitable for evaluation
EVB_0288,236,333.55,26.93,34.32,17.33,57.19,0.0614,3.31,8.98,95.32,97.43,Healthy,Not yet
EVB_0289,1399,357.48,31.47,40.77,70.25,41.98,0.104,10.54,11.25,69.97,75.49,Critical,Consider second-life/replacement
EVB_0290,513,330.08,31.27,31.01,13.84,52.29,0.0654,2.39,10.32,87.15,92.93,Moderate,Suitable for evaluation
EVB_0291,1422,314.53,40.4,23.92,7.79,43.44,0.1001,1.06,12.71,72.4,80.81,Degraded,Suitable for evaluation
EVB_0292,709,371.25,53.91,29.97,83.18,51.84,0.0657,16.01,20.01,86.4,92.52,Moderate,Suitable for evaluation
EVB_0293,813,337.88,37.3,29.45,24.93,49.65,0.0692,4.18,12.6,82.74,90.51,Moderate,Suitable for evaluation
EVB_0294,1004,340.82,45.45,10.0,41.01,48.02,0.0711,6.71,15.49,80.03,88.87,Moderate,Suitable for evaluation
EVB_0295,452,382.59,20.54,25.51,97.48,54.14,0.0643,20.19,7.86,90.23,94.62,Healthy,Not yet
EVB_0296,1419,344.33,68.64,32.51,37.0,42.63,0.0989,5.43,23.63,71.04,80.22,Degraded,Suitable for evaluation
EVB_0297,1584,335.2,37.21,26.61,33.17,40.77,0.1033,4.53,12.47,67.95,77.93,Critical,Consider second-life/replacement
EVB_0298,196,375.73,67.35,24.83,92.23,57.02,0.0471,19.76,25.3,95.03,97.27,Healthy,Not yet
EVB_0299,1221,323.42,50.23,37.29,15.52,44.74,0.0872,2.25,16.25,74.57,82.35,Degraded,Suitable for evaluation
EVB_0300,913,363.72,16.41,22.67,77.16,48.56,0.0717,13.63,5.97,80.94,89.29,Moderate,Suitable for evaluation
EVB_0301,1784,373.65,36.06,35.69,98.87,38.86,0.1083,14.35,13.47,64.76,75.1,Critical,Consider second-life/replacement
EVB_0302,538,372.03,21.0,19.34,90.62,51.6,0.07,17.4,7.81,86.0,92.3,Moderate,Suitable for evaluation
EVB_0303,978,362.3,53.58,52.09,66.91,47.34,0.1009,11.47,19.41,78.89,74.02,Degraded,Suitable for evaluation
EVB_0304,1713,334.24,42.12,28.27,34.84,38.68,0.1031,4.5,14.08,64.47,76.04,Critical,Consider second-life/replacement
EVB_0305,600,337.21,50.44,27.41,29.16,52.06,0.0672,5.12,17.01,86.77,92.73,Moderate,Suitable for evaluation
EVB_0306,387,370.46,34.41,39.14,82.83,54.8,0.0631,16.82,12.75,91.34,92.75,Healthy,Not yet
EVB_0307,921,376.8,30.37,26.65,88.58,48.94,0.0787,16.33,11.44,81.56,88.7,Moderate,Suitable for evaluation
EVB_0308,690,350.62,26.88,41.64,54.92,51.27,0.0739,9.87,9.43,85.45,87.49,Moderate,Suitable for evaluation
EVB_0309,522,337.22,62.67,32.97,28.21,52.99,0.0686,5.04,21.13,88.32,93.58,Moderate,Suitable for evaluation
EVB_0310,200,331.68,46.0,29.05,15.73,58.11,0.0486,3.03,15.26,96.84,98.26,Healthy,Not yet
EVB_0311,1488,328.39,43.74,28.2,13.28,41.51,0.1003,1.81,14.36,69.19,79.01,Critical,Consider second-life/replacement
EVB_0312,1371,359.94,38.63,39.66,73.31,42.82,0.099,11.3,13.91,71.37,77.59,Degraded,Suitable for evaluation
EVB_0313,1684,341.09,33.39,31.84,44.91,39.99,0.1023,6.13,11.39,66.65,77.36,Critical,Consider second-life/replacement
EVB_0314,312,372.45,34.47,33.46,91.01,56.48,0.0651,19.14,12.84,94.13,96.77,Healthy,Not yet
EVB_0315,193,372.95,45.67,34.33,75.27,57.26,0.0559,16.07,17.03,95.43,97.48,Healthy,Not yet
EVB_0316,395,337.48,29.61,31.06,23.17,53.2,0.0584,4.16,9.99,88.67,93.77,Moderate,Suitable for evaluation
EVB_0317,673,357.26,27.39,34.16,63.31,51.3,0.0749,11.6,9.79,85.51,91.37,Moderate,Suitable for evaluation
EVB_0318,1066,351.5,70.24,29.05,46.37,47.32,0.077,7.71,24.69,78.87,87.45,Degraded,Suitable for evaluation
EVB_0319,1645,352.01,37.29,29.6,59.84,40.74,0.107,8.58,13.13,67.9,77.41,Critical,Consider second-life/replacement
EVB_0320,930,366.11,32.06,21.05,75.12,48.78,0.077,13.42,11.74,81.31,88.79,Moderate,Suitable for evaluation
EVB_0321,51,370.61,17.02,32.38,81.59,59.05,0.0511,17.86,6.31,98.42,99.13,Healthy,Not yet
EVB_0322,946,371.3,56.09,16.24,85.16,50.25,0.0719,15.89,20.83,83.76,90.81,Moderate,Suitable for evaluation
EVB_0323,1377,334.95,28.5,32.27,29.13,43.22,0.0935,4.22,9.55,72.03,81.48,Degraded,Suitable for evaluation
EVB_0324,303,322.9,49.77,27.76,7.96,56.79,0.0556,1.46,16.07,94.65,97.06,Healthy,Not yet
EVB_0325,1725,364.9,11.22,33.0,75.23,38.37,0.1119,10.53,4.1,63.94,74.58,Critical,Consider second-life/replacement
EVB_0326,502,330.16,63.91,21.61,15.1,53.21,0.0653,2.65,21.1,88.69,93.78,Moderate,Suitable for evaluation
EVB_0327,1110,341.55,67.99,13.05,34.92,47.13,0.0823,5.62,23.22,78.56,86.57,Degraded,Suitable for evaluation
EVB_0328,1233,320.74,59.08,27.19,5.36,45.94,0.0894,0.79,18.95,76.56,84.52,Degraded,Suitable for evaluation
EVB_0329,1064,357.49,15.01,21.63,69.76,46.96,0.0873,11.71,5.37,78.27,85.74,Degraded,Suitable for evaluation
EVB_0330,58,338.05,63.59,15.76,20.88,58.01,0.0462,4.09,21.5,96.68,98.18,Healthy,Not yet
EVB_0331,1306,357.14,28.04,36.14,67.25,44.16,0.0944,10.61,10.01,73.6,81.54,Degraded,Suitable for evaluation
EVB_0332,1172,379.24,18.02,42.81,99.22,45.72,0.0887,17.2,6.83,76.2,79.73,Degraded,Suitable for evaluation
EVB_0333,1732,324.24,42.67,23.62,11.9,39.29,0.1045,1.52,13.84,65.48,76.41,Critical,Consider second-life/replacement
EVB_0334,865,326.27,42.26,29.39,12.32,49.23,0.0683,1.98,13.79,82.04,90.12,Moderate,Suitable for evaluation
EVB_0335,257,345.27,37.43,27.54,37.34,56.81,0.0535,7.32,12.92,94.68,97.07,Healthy,Not yet
EVB_0336,1204,373.89,63.45,24.73,87.31,45.03,0.0911,14.7,23.72,75.05,83.46,Degraded,Suitable for evaluation
EVB_0337,453,333.91,84.16,35.31,25.48,53.77,0.0566,4.57,28.1,89.62,94.1,Moderate,Suitable for evaluation
EVB_0338,201,348.75,21.65,38.08,39.24,57.98,0.0634,7.93,7.55,96.63,96.3,Healthy,Not yet
EVB_0339,103,326.18,37.22,23.05,11.51,58.83,0.0473,2.21,12.14,98.05,98.93,Healthy,Not yet
EVB_0340,1193,365.63,44.27,30.36,77.5,45.58,0.0869,12.92,16.19,75.96,84.52,Degraded,Suitable for evaluation
EVB_0341,1746,340.9,38.75,40.28,43.79,38.46,0.1123,5.74,13.21,64.09,71.44,Critical,Consider second-life/replacement
EVB_0342,677,363.92,48.93,35.51,77.13,51.73,0.0663,14.52,17.81,86.21,92.11,Moderate,Suitable for evaluation
EVB_0343,636,377.7,56.59,36.7,90.84,52.4,0.0695,17.98,21.37,87.34,92.02,Moderate,Suitable for evaluation
EVB_0344,1698,341.23,61.24,40.94,27.11,40.57,0.1216,3.75,20.9,67.61,71.74,Critical,Consider second-life/replacement
EVB_0345,1493,365.24,52.17,40.84,81.7,42.28,0.1015,12.62,19.05,70.47,76.05,Degraded,Suitable for evaluation
EVB_0346,1495,325.89,79.59,38.23,10.61,41.45,0.0976,1.43,25.94,69.08,77.38,Critical,Consider second-life/replacement
EVB_0347,153,374.76,11.55,31.16,90.39,57.7,0.0518,19.55,4.33,96.17,97.9,Healthy,Not yet
EVB_0348,303,360.64,69.62,26.94,66.82,55.8,0.0553,13.45,25.11,92.99,96.15,Healthy,Not yet
EVB_0349,1300,376.11,33.0,30.83,88.05,44.26,0.0899,14.66,12.41,73.77,82.92,Degraded,Suitable for evaluation
EVB_0350,1185,316.49,64.53,25.72,5.02,45.21,0.0865,0.72,20.42,75.35,84.24,Degraded,Suitable for evaluation
EVB_0351,559,327.52,29.94,14.38,21.06,53.62,0.0671,3.7,9.81,89.37,94.16,Moderate,Suitable for evaluation
EVB_0352,1546,341.31,29.6,27.76,42.03,39.6,0.0968,5.68,10.1,66.0,77.73,Critical,Consider second-life/replacement
EVB_0353,148,347.15,57.99,32.86,41.05,58.6,0.0532,8.35,20.13,97.66,98.72,Healthy,Not yet
EVB_0354,202,337.39,13.1,25.3,26.54,57.77,0.0562,5.17,4.42,96.28,97.95,Healthy,Not yet
EVB_0355,963,343.92,63.86,28.46,41.25,49.33,0.0747,7.0,21.96,82.21,89.59,Moderate,Suitable for evaluation
EVB_0356,927,328.16,71.61,28.77,17.24,49.49,0.0682,2.8,23.5,82.48,90.37,Moderate,Suitable for evaluation
EVB_0357,387,348.76,48.89,40.85,44.21,54.61,0.0699,8.42,17.05,91.02,91.55,Healthy,Not yet
EVB_0358,1779,356.43,43.8,27.12,81.22,39.19,0.1173,11.34,15.61,65.31,74.62,Critical,Consider second-life/replacement
EVB_0359,871,346.6,29.93,40.85,50.51,49.17,0.0841,8.61,10.37,81.94,84.67,Moderate,Suitable for evaluation
EVB_0360,1236,320.32,62.33,10.0,6.71,43.81,0.0891,0.94,19.97,73.02,82.62,Degraded,Suitable for evaluation
EVB_0361,1793,344.81,51.85,40.78,45.04,38.33,0.1152,5.95,17.88,63.89,70.64,Critical,Consider second-life/replacement
EVB_0362,1006,326.3,33.5,40.38,7.58,47.25,0.0949,1.17,10.93,78.75,81.77,Degraded,Suitable for evaluation
EVB_0363,1754,372.24,32.34,37.22,96.79,38.85,0.1119,14.0,12.04,64.75,73.7,Critical,Consider second-life/replacement
EVB_0364,210,334.5,46.08,13.9,17.11,58.64,0.0516,3.36,15.41,97.73,98.75,Healthy,Not yet
EVB_0365,1653,358.62,35.26,38.15,72.23,40.18,0.113,10.41,12.65,66.97,74.2,Critical,Consider second-life/replacement
EVB_0366,850,377.61,14.78,29.6,97.41,49.09,0.0728,18.06,5.58,81.81,89.62,Moderate,Suitable for evaluation
EVB_0367,447,372.31,53.57,10.0,83.47,55.31,0.0555,17.19,19.94,92.19,95.7,Healthy,Not yet
EVB_0368,1350,359.78,38.04,40.39,71.43,43.81,0.1041,11.26,13.69,73.02,77.38,Degraded,Suitable for evaluation
EVB_0369,865,373.43,41.11,41.55,84.75,48.53,0.0822,15.36,15.35,80.88,83.93,Moderate,Suitable for evaluation
EVB_0370,1577,375.13,28.8,14.76,98.27,39.95,0.0963,14.73,10.8,66.59,78.12,Critical,Consider second-life/replacement
EVB_0371,1465,354.28,51.87,31.4,64.03,41.74,0.1058,9.47,18.38,69.56,78.48,Critical,Consider second-life/replacement
EVB_0372,1208,355.72,47.6,41.11,58.12,45.81,0.0955,9.47,16.93,76.36,79.94,Degraded,Suitable for evaluation
EVB_0373,1268,354.16,65.07,39.84,64.68,44.36,0.0992,10.16,23.04,73.93,78.86,Degraded,Suitable for evaluation
EVB_0374,450,354.02,52.98,36.69,55.6,54.58,0.0662,10.74,18.76,90.97,94.02,Healthy,Not yet
EVB_0375,689,353.61,39.51,10.0,65.33,50.8,0.0656,11.73,13.97,84.66,91.56,Moderate,Suitable for evaluation
EVB_0376,1106,351.89,31.96,35.84,47.74,47.29,0.0911,7.94,11.25,78.82,85.03,Degraded,Suitable for evaluation
EVB_0377,737,337.52,63.5,28.26,25.75,49.75,0.0721,4.32,21.43,82.91,90.33,Moderate,Suitable for evaluation
EVB_0378,509,337.06,43.94,37.97,16.42,53.3,0.0666,2.95,14.81,88.83,92.08,Moderate,Suitable for evaluation
EVB_0379,1004,328.28,46.53,32.05,11.49,48.24,0.0835,1.82,15.27,80.41,87.42,Moderate,Suitable for evaluation
EVB_0380,519,333.81,44.3,29.84,30.01,52.99,0.0611,5.31,14.79,88.31,93.57,Moderate,Suitable for evaluation
EVB_0381,1448,323.63,42.65,35.13,9.38,43.05,0.0954,1.31,13.8,71.75,81.0,Degraded,Suitable for evaluation
EVB_0382,1095,350.62,41.15,28.62,58.88,46.25,0.0785,9.55,14.43,77.09,86.26,Degraded,Suitable for evaluation
EVB_0383,799,342.3,81.84,29.81,31.96,49.55,0.074,5.42,28.01,82.59,89.88,Moderate,Suitable for evaluation
EVB_0384,1743,363.28,22.14,25.56,83.33,39.98,0.1045,12.1,8.04,66.64,77.06,Critical,Consider second-life/replacement
EVB_0385,87,323.91,34.89,17.16,12.05,59.06,0.0541,2.31,11.3,98.44,99.14,Healthy,Not yet
EVB_0386,279,330.92,72.74,34.54,26.5,57.02,0.0582,5.0,24.07,95.03,97.26,Healthy,Not yet
EVB_0387,1438,360.48,35.33,23.55,74.37,43.46,0.0922,11.65,12.74,72.43,81.88,Degraded,Suitable for evaluation
EVB_0388,612,354.62,35.46,28.39,61.89,50.82,0.0671,11.15,12.58,84.7,91.59,Moderate,Suitable for evaluation
EVB_0389,487,321.8,68.29,32.3,11.13,54.6,0.0587,1.96,21.98,91.0,95.05,Healthy,Not yet
EVB_0390,1356,376.82,14.84,13.32,88.34,43.2,0.0921,14.38,5.59,71.99,81.65,Degraded,Suitable for evaluation
EVB_0391,76,376.28,55.19,15.11,88.34,58.65,0.0489,19.49,20.77,97.75,98.76,Healthy,Not yet
EVB_0392,275,343.12,47.45,27.6,36.39,57.01,0.0554,7.12,16.28,95.01,97.26,Healthy,Not yet
EVB_0393,1350,344.02,54.89,33.64,37.34,43.55,0.1004,5.59,18.88,72.58,80.87,Degraded,Suitable for evaluation
EVB_0394,847,379.73,47.15,35.95,98.96,50.21,0.0898,18.87,17.91,83.68,87.81,Moderate,Suitable for evaluation
EVB_0395,1682,352.84,31.96,17.27,64.49,39.79,0.1066,9.05,11.28,66.31,76.6,Critical,Consider second-life/replacement
EVB_0396,333,348.44,63.26,35.09,55.48,56.12,0.0654,10.85,22.04,93.53,96.39,Healthy,Not yet
EVB_0397,928,367.42,30.94,28.04,84.62,48.52,0.0877,15.09,11.37,80.87,87.12,Moderate,Suitable for evaluation
EVB_0398,1009,341.54,54.51,22.93,32.1,47.15,0.0763,5.17,18.62,78.58,87.38,Degraded,Suitable for evaluation
EVB_0399,1554,340.1,67.79,24.81,45.77,40.83,0.0999,6.36,23.05,68.06,78.44,Critical,Consider second-life/replacement
EVB_0400,502,338.58,72.17,36.41,30.44,53.84,0.0658,5.55,24.43,89.73,93.5,Moderate,Suitable for evaluation
EVB_0401,1069,369.63,36.6,32.19,79.97,48.46,0.0875,14.32,13.53,80.76,87.08,Moderate,Suitable for evaluation
EVB_0402,865,355.28,52.2,30.4,59.47,50.65,0.0767,10.7,18.55,84.42,90.54,Moderate,Suitable for evaluation
EVB_0403,708,361.13,36.42,31.95,67.59,51.05,0.0681,12.46,13.15,85.08,91.79,Moderate,Suitable for evaluation
EVB_0404,1589,335.31,92.59,37.42,28.97,40.87,0.1066,3.97,31.05,68.11,76.12,Critical,Consider second-life/replacement
EVB_0405,596,335.57,61.93,29.22,25.92,52.65,0.07,4.58,20.78,87.74,93.25,Moderate,Suitable for evaluation
EVB_0406,1265,353.05,46.35,30.43,51.4,44.91,0.0844,8.15,16.36,74.85,84.25,Degraded,Suitable for evaluation
EVB_0407,1122,360.21,47.62,39.11,75.07,46.53,0.0884,12.58,17.15,77.55,82.74,Degraded,Suitable for evaluation
EVB_0408,1585,350.15,51.74,27.35,54.9,41.35,0.0967,7.95,18.12,68.92,79.35,Critical,Consider second-life/replacement
EVB_0409,66,319.52,57.89,34.95,8.1,57.18,0.0526,1.48,18.5,95.3,97.41,Healthy,Not yet
EVB_0410,1245,364.45,36.18,25.97,87.51,45.32,0.0935,14.45,13.19,75.53,83.4,Degraded,Suitable for evaluation
EVB_0411,1293,322.94,42.56,26.67,11.15,44.2,0.0822,1.59,13.75,73.67,83.89,Degraded,Suitable for evaluation
EVB_0412,207,380.56,36.77,29.17,95.8,57.02,0.0526,20.79,13.99,95.04,97.27,Healthy,Not yet
EVB_0413,526,328.04,29.6,34.12,7.39,54.24,0.063,1.31,9.71,90.41,94.72,Healthy,Not yet
EVB_0414,1119,368.06,55.41,39.55,70.97,47.39,0.0958,12.38,20.39,78.99,82.27,Degraded,Suitable for evaluation
EVB_0415,1446,327.71,35.03,30.77,12.81,43.13,0.0953,1.81,11.48,71.88,81.17,Degraded,Suitable for evaluation
EVB_0416,567,377.37,20.94,18.0,91.51,52.83,0.0654,18.25,7.9,88.06,93.43,Moderate,Suitable for evaluation
EVB_0417,148,350.64,44.85,35.05,49.12,57.47,0.0542,9.9,15.73,95.78,97.65,Healthy,Not yet
EVB_0418,1110,323.43,46.49,49.63,18.06,43.92,0.1041,2.57,15.04,73.2,71.94,Degraded,Suitable for evaluation
EVB_0419,329,341.9,51.01,30.87,37.38,56.18,0.0654,7.18,17.44,93.63,96.5,Healthy,Not yet
EVB_0420,1422,332.56,38.29,16.33,20.66,43.34,0.0902,2.98,12.73,72.24,82.03,Degraded,Suitable for evaluation
EVB_0421,546,334.35,41.39,31.36,21.21,53.38,0.0614,3.78,13.84,88.96,93.93,Moderate,Suitable for evaluation
EVB_0422,351,374.18,52.05,29.98,95.07,56.44,0.0586,20.08,19.48,94.07,96.74,Healthy,Not yet
EVB_0423,230,350.63,56.69,29.3,47.3,56.32,0.0498,9.34,19.88,93.86,96.62,Healthy,Not yet
EVB_0424,656,369.33,52.02,37.56,79.94,51.89,0.0777,15.32,19.21,86.49,90.0,Moderate,Suitable for evaluation
EVB_0425,1172,358.46,43.72,41.03,65.76,45.49,0.0992,10.72,15.67,75.82,79.19,Degraded,Suitable for evaluation
EVB_0426,749,360.76,45.73,35.47,69.26,50.91,0.0734,12.72,16.5,84.86,90.94,Moderate,Suitable for evaluation
EVB_0427,1042,329.88,53.05,28.94,17.51,48.31,0.0784,2.79,17.5,80.52,88.17,Moderate,Suitable for evaluation
EVB_0428,1189,335.57,35.92,39.01,27.25,45.48,0.0927,4.16,12.05,75.8,81.26,Degraded,Suitable for evaluation
EVB_0429,240,366.95,67.96,18.05,79.74,56.91,0.0538,16.65,24.94,94.86,97.17,Healthy,Not yet
EVB_0430,302,380.89,63.3,24.27,97.22,55.72,0.0568,20.63,24.11,92.87,96.08,Healthy,Not yet
